,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,1556,1958,2238,2049,2276,2267,2434,2654,2733,2547,2512,2587,2398,2320,2311,2427,2112,2046,1824,1873
1,1284,4568,1649,845,1106,922,794,564,388,372,363,304,334,335,289,325,286,278,246,235
2,269,375,442,371,368,327,278,319,274,233,203,196,204,220,198,147,182,185,195,160
3,337,311,323,330,323,278,257,247,205,178,193,175,163,161,141,148,123,121,133,135
4,296,310,341,320,312,338,208,218,216,167,169,138,143,163,141,131,128,112,105,121
5,281,286,331,321,301,328,235,225,198,177,152,156,146,145,140,124,115,117,98,93
6,250,257,290,291,314,339,271,212,174,182,162,135,110,136,131,123,115,111,94,102
7,207,203,246,262,290,305,269,232,218,160,153,138,111,112,111,134,111,98,95,86
8,171,152,197,238,275,303,274,224,190,172,155,126,114,148,124,117,110,103,98,106
9,144,158,172,190,211,232,220,207,167,160,177,140,143,125,132,104,111,106,84,112
10,154,145,172,189,204,201,212,206,163,166,183,159,130,119,124,120,105,96,109,106
11,139,144,159,158,167,200,179,196,173,177,172,151,154,124,114,103,106,106,109,107
12,170,120,151,144,160,183,168,175,183,172,169,167,172,146,130,142,121,119,108,135
13,187,163,167,160,165,180,183,204,201,204,206,181,179,150,186,170,162,135,138,136
14,204,181,213,210,214,236,217,228,242,211,213,208,242,225,189,196,160,185,165,175
15,286,223,270,268,228,242,275,291,243,274,261,235,199,274,281,248,219,218,201,199
16,325,257,320,298,256,296,289,315,274,273,254,246,261,276,246,229,260,222,204,204
17,392,259,307,285,278,320,294,321,271,251,221,289,236,264,223,274,238,225,217,237
18,344,275,346,370,328,289,322,324,272,229,254,283,292,249,244,250,253,245,255,242
19,391,362,400,374,320,325,317,329,270,267,247,249,264,245,250,252,261,242,266,278
20,451,398,462,444,354,391,343,331,299,267,250,256,229,284,244,268,236,258,271,250
21,568,540,552,529,455,437,390,378,332,323,279,274,273,279,245,255,277,256,247,307
22,612,577,701,647,521,549,431,438,354,321,325,296,260,259,239,258,266,255,257,247
23,690,762,810,826,684,660,572,495,388,373,333,312,295,278,259,238,280,236,246,250
24,823,856,1011,957,910,778,639,590,449,418,356,336,319,334,288,248,257,243,246,243
25,855,973,1121,1135,1071,1042,763,702,580,466,433,386,377,357,271,274,304,262,314,303
26,880,1029,1190,1257,1156,1114,918,723,625,515,478,392,399,366,344,311,302,282,291,262
27,898,1046,1241,1329,1245,1222,961,841,657,546,509,530,414,418,361,371,296,313,279,285
28,876,928,1257,1399,1281,1337,1122,904,751,634,581,495,449,433,406,361,339,343,280,314
29,870,965,1160,1368,1383,1390,1190,1007,792,788,613,551,488,436,394,430,424,338,348,332
30,844,949,1214,1273,1363,1355,1168,1036,845,706,701,588,559,487,457,443,421,412,382,371
31,814,881,1170,1318,1324,1438,1233,1117,853,744,709,695,565,507,503,520,470,396,414,373
32,832,910,1140,1178,1315,1265,1221,1109,898,773,774,688,641,618,571,508,492,496,448,411
33,754,846,1118,1205,1303,1342,1136,1113,964,815,772,719,677,696,592,548,532,548,513,472
34,823,875,1170,1219,1216,1274,1186,1085,931,879,796,763,727,663,674,584,560,587,526,523
35,765,762,1130,1198,1254,1177,1248,1095,964,934,832,779,782,741,667,706,611,624,590,611
36,706,802,1021,1150,1206,1260,1166,1080,1001,965,925,859,769,778,704,657,682,622,629,670
37,770,797,1011,1115,1180,1235,1166,1141,1057,990,921,940,851,815,750,712,696,749,738,675
38,756,903,1041,1139,1115,1237,1220,1181,1070,994,952,908,924,885,811,803,770,744,755,735
39,767,794,1023,1180,1231,1171,1188,1140,1088,1002,1048,973,882,926,914,844,813,825,783,851
40,847,864,1114,1189,1088,1265,1203,1252,1170,1141,990,987,999,947,979,942,891,909,855,841
41,876,887,1141,1174,1256,1218,1263,1159,1170,1112,1159,994,1036,1076,1001,994,955,952,880,922
42,836,927,1208,1189,1174,1271,1219,1289,1178,1197,1244,1146,1046,1126,1077,997,1029,1064,1017,892
43,865,966,1161,1182,1239,1277,1326,1244,1223,1256,1252,1201,1191,1157,1153,1163,1137,1132,1085,1064
44,887,859,1269,1195,1277,1213,1242,1300,1283,1334,1220,1325,1287,1297,1242,1264,1211,1217,1273,1168
45,940,917,1219,1369,1293,1345,1339,1319,1308,1305,1347,1290,1314,1362,1319,1227,1281,1283,1201,1324
46,997,963,1195,1246,1350,1343,1353,1343,1412,1440,1350,1437,1260,1352,1463,1387,1322,1398,1345,1342
47,1030,992,1267,1284,1338,1468,1409,1483,1415,1408,1468,1410,1375,1420,1479,1529,1422,1469,1551,1561
48,1041,1131,1320,1444,1460,1421,1540,1530,1469,1493,1467,1562,1437,1459,1482,1581,1534,1546,1511,1526
49,998,1113,1417,1362,1426,1567,1487,1653,1542,1501,1517,1513,1565,1613,1630,1582,1636,1724,1705,1572
50,1075,1086,1414,1450,1437,1543,1603,1693,1681,1614,1643,1563,1639,1721,1664,1685,1697,1755,1805,1841
51,1082,1123,1383,1465,1654,1580,1650,1670,1649,1737,1685,1680,1626,1723,1823,1755,1773,1702,1859,1919
52,1087,1107,1389,1464,1545,1688,1626,1727,1781,1729,1826,1710,1657,1759,1791,1856,1791,1930,1893,1984
53,1230,1116,1382,1554,1563,1660,1809,1773,1765,1869,1830,2005,1793,1779,1871,1956,2012,1935,2026,2079
54,1135,1264,1366,1443,1525,1626,1695,1890,1820,1950,1871,1886,1895,1901,1905,2013,1972,2116,2030,2146
55,1285,1251,1524,1492,1443,1749,1661,1914,2056,1834,1898,2052,1882,2188,1995,1982,1997,2065,2183,2189
56,1384,1461,1492,1657,1606,1625,1755,1947,2030,2069,2032,2116,1958,1997,2154,2104,2110,2091,2163,2446
57,1382,1395,1712,1590,1711,1666,1667,2028,1982,2049,2214,2130,2077,2205,2135,2276,2166,2205,2182,2501
58,1529,1414,1818,1956,1755,1872,1831,1984,2053,2022,2183,2216,2168,2273,2179,2171,2346,2366,2238,2471
59,1625,1673,1945,1837,2029,1739,1911,2040,1999,2145,2152,2273,2363,2285,2263,2469,2424,2613,2451,2568
60,1719,1757,2014,1897,1996,2101,1938,2127,2045,2151,2218,2290,2315,2459,2495,2499,2560,2539,2748,2771
61,1860,1695,2159,2214,2070,2097,2176,2183,2261,2128,2234,2389,2328,2565,2623,2504,2613,2714,2660,2939
62,1835,2004,2282,2370,2355,2268,2176,2551,2285,2328,2287,2279,2397,2521,2675,2822,2680,2814,2925,2908
63,2086,1974,2464,2372,2370,2429,2261,2514,2634,2273,2436,2397,2485,2607,2552,2829,2982,2883,3018,3215
64,2078,2254,2460,2608,2522,2629,2450,2557,2557,2715,2397,2523,2526,2529,2729,2712,3024,3112,3126,3230
65,2173,2294,2700,2531,2844,2654,2656,2806,2759,2708,2732,2594,2621,2567,2675,2761,2874,3267,3354,3446
66,2062,2308,2739,2791,2677,2873,2832,3006,3045,2824,2862,2915,2678,2845,2724,2724,3050,3081,3418,3601
67,2054,2242,2906,2940,2932,2968,3094,3174,3143,3124,2964,2970,3076,2907,2916,2827,2998,3358,3278,3628
68,2012,2344,2809,2969,3083,3078,3190,3512,3248,3306,3297,3111,3061,3237,2810,3121,3015,3155,3403,3500
69,2291,2335,2786,2954,3147,3308,3340,3309,3680,3552,3370,3474,3205,3298,3417,3081,3224,3150,3378,3661
70,2051,2607,2828,3047,3003,3427,3578,3574,3594,3897,3656,3669,3490,3515,3407,3576,3171,3584,3470,3739
71,2320,2382,3139,2999,3117,3277,3597,3890,3929,3800,3897,3709,3686,3708,3645,3461,3713,3564,3782,3675
72,2239,2646,2908,3358,3083,3294,3453,3905,3941,4133,3872,4252,3917,4031,4053,3683,3804,4074,3683,3889
73,2160,2455,3126,3045,3687,3294,3592,3838,4157,4150,4314,4089,4229,4062,4181,4264,4007,4136,4296,3955
74,2363,2547,2911,3484,3142,3710,3497,3756,3896,4196,4436,4511,4165,4556,4270,4428,4341,4187,4388,4647
75,2170,2705,2817,3130,3501,3463,3883,3848,4023,4174,4385,4713,4445,4560,4750,4449,4631,4680,4503,4662
76,2366,2575,3136,2997,3151,3710,3639,4234,4184,4204,4310,4708,4671,4856,4779,4950,4920,4998,4872,4897
77,2312,2672,2946,3249,3178,3326,3874,3837,4500,4231,4551,4630,4726,5042,5075,4676,5237,5027,5112,5206
78,2013,2720,3209,3115,3520,3319,3527,4270,4041,4467,4327,4660,4688,4933,5186,5272,4987,5366,5279,5439
79,2373,2252,2944,3240,3138,3425,3512,3813,4407,4109,4726,4519,4589,4872,5199,5243,5397,5335,5688,5658
80,2217,2676,2474,3135,3459,3298,3787,3635,3920,4262,4283,4955,4661,5063,5028,5138,5410,5586,5505,6083
81,2642,2637,3033,2599,3237,3488,3383,3931,3858,3859,4629,4352,4888,4881,5101,5056,5397,5747,5802,5967
82,2150,3004,3009,3088,2702,3295,3650,3619,4075,3815,4043,4429,4395,5111,4858,5126,5183,5608,5780,6196
83,2258,2394,3286,2942,3104,2699,3310,3629,3729,3967,3869,4247,4509,4547,5162,4981,5261,5290,5685,6059
84,2083,2742,2704,3283,3289,3173,2821,3438,3791,3725,4090,4028,4029,4723,4534,5087,5069,5215,5382,6095
85,1863,2338,2786,2573,3134,3031,3222,2857,3449,3631,3723,3895,3753,4162,4607,4304,5218,5040,5277,5777
86,1933,2245,2579,2686,2582,3138,2888,3191,2775,3122,3587,3548,3741,3800,3985,4269,4500,5119,4961,5522
87,1619,2212,2199,2258,2612,2519,3042,2924,3126,2574,3258,3485,3334,3806,3731,3636,4331,4339,5254,5141
88,1673,1829,2196,1947,2245,2514,2340,2991,2904,2874,2501,3072,3271,3356,3655,3397,3705,4163,4376,5077
89,1358,1841,1859,1990,1904,2100,2418,2214,2829,2562,2774,2325,2906,3114,3108,3336,3319,3576,4055,4266
90,1291,1491,1716,1609,1960,1891,2041,2270,2087,2495,2518,2571,2177,2712,2942,2779,3150,3108,3344,4005
91,1101,1309,1458,1556,1430,1780,1622,1811,2008,1907,2264,2250,2206,2021,2491,2451,2541,2989,2884,3311
92,856,1157,1242,1268,1486,1326,1605,1484,1681,1807,1723,2060,1929,2251,1816,2097,2366,2387,2662,2736
93,758,877,1036,1011,1196,1259,1215,1361,1386,1389,1606,1537,1795,1855,1896,1451,1937,2166,2159,2573
94,570,860,732,860,947,991,1106,1053,1218,1099,1193,1288,1279,1688,1521,1570,1408,1724,1859,1926
95,465,572,726,603,723,750,821,860,904,990,937,978,1119,1044,1346,1226,1373,1204,1470,1665
96,362,484,496,581,551,631,642,716,751,677,853,807,822,951,794,979,1017,1080,982,1379
97,248,343,424,383,485,447,531,524,578,595,556,658,648,670,756,692,856,851,933,862
98,221,268,350,332,309,371,335,412,415,406,457,450,498,510,536,536,515,641,677,818
99,161,210,210,237,250,230,302,265,308,289,334,374,348,426,343,384,414,449,562,579
100,123,157,150,156,158,191,181,212,198,226,243,244,287,287,312,286,302,336,313,396
