"age","Lcfitm.ax","X1"
0,-4.8900151408825,-0.00560939411491338
1,-6.46120409682395,0.0771162149705502
2,-7.06703630577968,0.0245007404750936
3,-7.25330855053013,0.0312707777128135
4,-7.298168163678,0.0368936007465074
5,-7.32528722180091,0.0346524682524882
6,-7.34890766024255,0.0292824829555136
7,-7.48825686496829,0.0317215305584154
8,-7.59463336519225,0.0242155565613339
9,-7.71229542274416,0.0210477550124462
10,-7.79067886620898,0.0112601284480063
11,-7.80888484088423,0.00855916785500247
12,-7.64464961280674,0.000894651824297931
13,-7.31958833791634,-0.00237675458516326
14,-6.97552159012456,-0.000163126585695342
15,-6.62399658866078,-0.00194600740314421
16,-6.41222588565046,0.00334186458739573
17,-6.27016143615064,0.009262425523573
18,-6.20322226215761,0.0120217529132282
19,-6.16792132997408,0.0143850221648855
20,-6.14906098749262,0.0186925548921281
21,-6.15889831899911,0.0201166065513939
22,-6.11324866687859,0.0232780090288283
23,-6.03687589413233,0.0289933550566676
24,-5.99302362102997,0.0330718857123705
25,-5.91890590022506,0.0413828923360695
26,-5.86088016442401,0.04567620105853
27,-5.7900391396847,0.0506018474988824
28,-5.7151554101525,0.0514817642458592
29,-5.66667294057933,0.0525093810914422
30,-5.61941658965397,0.0511307788089317
31,-5.56233889102302,0.0461762491109381
32,-5.53319131284475,0.0431557418381829
33,-5.50410316323713,0.0388430040660037
34,-5.47785566819073,0.0344857904067082
35,-5.43804078254439,0.0304208017693112
36,-5.41762531670171,0.025629607191024
37,-5.38740879954717,0.0220468242459676
38,-5.34897477222794,0.0190182907648488
39,-5.31572127309676,0.0156324706873858
40,-5.28857165392713,0.0140647332363617
41,-5.24791736629718,0.0110732271499893
42,-5.2114876731504,0.0111264766553823
43,-5.16372848038353,0.00803247129357138
44,-5.11896083229472,0.00693072207690295
45,-5.07169849189781,0.00619669916954588
46,-5.02281508329675,0.00525360883099435
47,-4.98235724767807,0.00416224760579685
48,-4.91944821439052,0.00452189049824619
49,-4.86572532437305,0.00368543319399507
50,-4.80700294192597,0.00355510782897012
51,-4.74367950785709,0.00417400151785951
52,-4.6825012554614,0.00351630691357179
53,-4.61886392896958,0.00448796392239022
54,-4.55186252808106,0.00403011083883172
55,-4.4997023353817,0.00466658693841381
56,-4.43770654762659,0.00438756062840488
57,-4.36745837419135,0.00303297256258645
58,-4.30201407613797,0.00301884320690633
59,-4.23193607785244,0.00340144758599148
60,-4.16291648631446,0.00319115442541352
61,-4.09185630639533,0.00323889086777688
62,-4.03028729827646,0.00329806836843935
63,-3.95651673348283,0.00445966292747307
64,-3.882141307819,0.00625543476598341
65,-3.81195794533196,0.00483826808015962
66,-3.73080212580533,0.00569999870181429
67,-3.65807872358122,0.00726106366626986
68,-3.58638839809127,0.00542717159943501
69,-3.49261681665044,0.00646983014327367
70,-3.40799248233062,0.00734564242953659
71,-3.32326514525771,0.00590244565757407
72,-3.23003026407486,0.00863618001000219
73,-3.15207533297984,0.00694000093566957
74,-3.06469616958256,0.00782921715670386
75,-2.97397468006135,0.00680051428376122
76,-2.88547654698184,0.0073430946461546
77,-2.80046109443199,0.00761911678379318
78,-2.71080334008858,0.00785944011098031
79,-2.62938767471365,0.0071395671891488
80,-2.55326713218146,0.00520548302695916
81,-2.46211496310037,0.0052146100652591
82,-2.37483186846666,0.00487844350709407
83,-2.30385204719118,0.00441494095654883
84,-2.22491035721036,0.00241010365409343
85,-2.15637862916975,0.000474450681538637
86,-2.07811472809563,0.000843768145336978
87,-2.03690427108687,-0.00176000217878884
88,-1.99059339586727,-0.00333458909827853
89,-1.94039467174195,-0.00542095686908878
90,-1.91597776206378,-0.00909127345522641
91,-1.90539147870892,-0.0126543878691579
92,-1.88272721128885,-0.0165244568993064
93,-1.89732744799843,-0.0193481242886575
94,-1.93054153612901,-0.021225491661816
95,-2.01935706877553,-0.030819559895144
96,-2.09151983313612,-0.0309035309951167
97,-2.21777763514313,-0.0372048934432148
98,-2.37793410020823,-0.0386132097838859
99,-2.54811182915963,-0.0404302917221014
100,-2.77436269650127,-0.0456591205152308
